autism,sex,year,pd,diag,py,age,pred,lower,upper,form,obs,pch
control,m,2010,any,14,6.80206084873377,20,2.55692485020031,1.94840360979808,3.35549814047482,2.56 (1.95-3.36),2.05819975906363,1
control,m,2011,any,7,8.22810807665992,20,2.73858123556474,2.11134281885939,3.55215984670786,2.74 (2.11-3.55),0.850742349855174,1
control,m,2012,any,14,9.94899253935661,20,2.92531968971473,2.28050098056365,3.75246288423765,2.93 (2.28-3.75),1.40717765589011,1
control,m,2013,any,21,11.4271420260097,20,3.11645659564552,2.46334643130813,3.94272668639015,3.12 (2.46-3.94),1.83772984987858,1
control,m,2014,any,31,12.7351846680355,20,3.31122637800599,2.6597807713369,4.12222700628506,3.31 (2.66-4.12),2.43420105856871,1
control,m,2015,any,35,13.3424019164956,20,3.50878457932279,2.85500854334557,4.31227053690929,3.51 (2.86-4.31),2.62321583617778,1
control,m,2016,any,31,13.3039540041067,20,3.7082122166794,3.01118383488627,4.5665886235902,3.71 (3.01-4.57),2.33013433378008,1
control,m,2017,any,35,13.5353074606434,20,3.90852142699811,3.07832686653226,4.96261131700818,3.91 (3.08-4.96),2.58582969775673,1
control,m,2018,any,40,14.3790056810402,20,4.10866238483341,3.03358375751907,5.56474056491875,4.11 (3.03-5.56),2.78183352084929,1
control,f,2000,any,0,0.135592402464066,20,0.124850154674339,0.0021710876545496,7.17960930298786,0.12 (0.00-7.18),0,1
control,f,2001,any,0,0.186010882956879,20,0.180147733175704,0.00544298106275692,5.96239549507208,0.18 (0.01-5.96),0,1
control,f,2002,any,0,0.26712128678987,20,0.257011557852263,0.0129310605823264,5.1082384502883,0.26 (0.01-5.11),0,1
control,f,2003,any,0,0.357931143052704,20,0.362543932996529,0.0291024035321841,4.51640027626018,0.36 (0.03-4.52),0,1
control,f,2004,any,0,0.470841273100616,20,0.505653205751388,0.0620183523450649,4.12273391372999,0.51 (0.06-4.12),0,1
control,f,2005,any,1,0.646021971252567,20,0.697315025681798,0.1250592061547,3.88814434372877,0.70 (0.13-3.89),1.54793496893164,1
control,f,2006,any,0,0.846742710472279,20,0.950800534802517,0.238386954834962,3.79224466207313,0.95 (0.24-3.79),0,1
control,f,2007,any,0,1.07374859685147,20,1.28184037464147,0.428924567388688,3.8307778826108,1.28 (0.43-3.83),0,1
control,f,2008,any,2,1.26217207392197,20,1.70868737776529,0.726945633880711,4.0162735957962,1.71 (0.73-4.02),1.58456999748486,1
control,f,2009,any,0,1.53611827515401,20,2.25203642855687,1.15753886859923,4.38142356436339,2.25 (1.16-4.38),0,1
control,f,2010,any,3,1.77321396303902,20,2.93475834851533,1.72887393813031,4.98174353504034,2.93 (1.73-4.98),1.69184320817013,1
control,f,2011,any,3,2.13797385352498,20,3.78140694534433,2.42953155066885,5.88551257231533,3.78 (2.43-5.89),1.40319770284082,1
control,f,2012,any,7,2.60147255304587,20,4.81746561718393,3.25163875283238,7.13731651541355,4.82 (3.25-7.14),2.69078372239762,1
control,f,2013,any,10,3.03278425735799,20,6.0683128875821,4.2245428025414,8.71678262543398,6.07 (4.22-8.72),3.29730015438405,1
control,f,2014,any,18,3.48197357973991,20,7.55790523591204,5.41865470999024,10.5417183068913,7.56 (5.42-10.54),5.16948207325126,1
control,f,2015,any,14,3.72003394934977,20,9.30720017439215,6.91171699268578,12.5329169550596,9.31 (6.91-12.53),3.76340651473008,1
control,f,2016,any,21,3.77148097193705,20,11.3323714766297,8.69258466379929,14.7738156430219,11.33 (8.69-14.77),5.56810445452528,1
control,f,2017,any,35,4.02263470225875,20,13.6428996724128,10.4312916868414,17.843304267516,13.64 (10.43-17.84),8.7007651926105,1
control,f,2018,any,45,4.44511471594801,20,16.2396514542797,11.485212775554,22.9622458469225,16.24 (11.49-22.96),10.1234732679791,1
autism,m,2000,bpd,0,0.018368514715948,20,1.6570165199644,0.0209173888852314,131.26417271773,1.66 (0.02-131.26),0,4
autism,m,2001,bpd,0,0.0269874058863792,20,1.68118348424165,0.0410281212469553,68.8887968004785,1.68 (0.04-68.89),0,4
autism,m,2002,bpd,0,0.0379631759069131,20,1.71236913796502,0.0756613480588114,38.7543724753076,1.71 (0.08-38.75),0,4
autism,m,2003,bpd,1,0.0537385352498289,20,1.7509496967866,0.13090076421024,23.4209850429372,1.75 (0.13-23.42),18.6086203382922,4
autism,m,2004,bpd,0,0.0727735112936345,20,1.7973967297518,0.211844781977771,15.250009813607,1.80 (0.21-15.25),0,4
autism,m,2005,bpd,0,0.0940449691991786,20,1.85228677255635,0.319537661939235,10.7372829448807,1.85 (0.32-10.74),0,4
autism,m,2006,bpd,0,0.125346611909651,20,1.91631325660071,0.447579404841892,8.20470392001354,1.92 (0.45-8.20),0,4
autism,m,2007,bpd,0,0.172750171115674,20,1.99030109946854,0.581354194671607,6.81391568660361,1.99 (0.58-6.81),0,4
autism,m,2008,bpd,0,0.212514305270363,20,2.07522438640225,0.703670009597361,6.12013613651487,2.08 (0.70-6.12),0,4
autism,m,2009,bpd,0,0.262588637919233,20,2.17222767254949,0.805493653951968,5.85798912038496,2.17 (0.81-5.86),0,4
autism,m,2010,bpd,0,0.313052361396304,20,2.28265155633809,0.891972556072348,5.84154533923807,2.28 (0.89-5.84),0,4
autism,m,2011,bpd,0,0.379905749486653,20,2.40806332038731,0.977981533639191,5.9293235664858,2.41 (0.98-5.93),0,4
autism,m,2012,bpd,1,0.460751471594798,20,2.55029361418283,1.08011481397129,6.02157977505027,2.55 (1.08-6.02),2.17036745762027,4
autism,m,2013,bpd,4,0.532189938398358,20,2.71148037017608,1.21121602425458,6.07003676522111,2.71 (1.21-6.07),7.51611353652818,4
autism,m,2014,bpd,4,0.596271731690623,20,2.89412141182151,1.37408445622009,6.09565060462493,2.89 (1.37-6.10),6.70835088669843,4
autism,m,2015,bpd,1,0.621903080082135,20,3.10113754063235,1.54608993568755,6.22024231833741,3.10 (1.55-6.22),1.60796759499556,4
autism,m,2016,bpd,0,0.620435181382615,20,3.33594829508094,1.65742125907301,6.71437690721889,3.34 (1.66-6.71),0,4
autism,m,2017,bpd,0,0.633167556468174,20,3.6025630765916,1.61731481415184,8.02469661890002,3.60 (1.62-8.02),0,4
autism,m,2018,bpd,4,0.677302737850788,20,3.90569096162572,1.41286182161335,10.7968250358027,3.91 (1.41-10.80),5.90577857797057,4
