py,year,age,pred,lower,upper,form,pd_type,group
1,2012,20,6.53025921795887,4.00687064169862,10.6427906631043,6.53 (4.01-10.64),bpd,autistic
1,2013,20,7.39381766548918,4.67869381463617,11.6845730531633,7.39 (4.68-11.68),bpd,autistic
1,2014,20,8.35495141078869,5.49030414055796,12.7142707015036,8.35 (5.49-12.71),bpd,autistic
1,2015,20,9.42227980720968,6.43738476791061,13.7912149057647,9.42 (6.44-13.79),bpd,autistic
1,2016,20,10.6048600598388,7.37584603770123,15.247478908035,10.60 (7.38-15.25),bpd,autistic
1,2017,20,11.9121667292399,7.96183401315783,17.8224911434607,11.91 (7.96-17.82),bpd,autistic
1,2018,20,13.3540642456517,7.92369523009777,22.5060437962847,13.35 (7.92-22.51),bpd,autistic
1,2000,20,0.986648985003155,0.270584651007285,3.59767716307585,0.99 (0.27-3.60),any,control
1,2001,20,1.08341403961259,0.359017065068283,3.26944342048596,1.08 (0.36-3.27),any,control
1,2002,20,1.19135482034403,0.468939571828623,3.02667207721946,1.19 (0.47-3.03),any,control
1,2003,20,1.31190586921503,0.602754344097296,2.85538715155742,1.31 (0.60-2.86),any,control
1,2004,20,1.44670207759219,0.761991142740537,2.74668140338506,1.45 (0.76-2.75),any,control
1,2005,20,1.59760869951495,0.946723911044789,2.69598509870647,1.60 (0.95-2.70),any,control
1,2006,20,1.76675614214163,1.15492182388112,2.70271736255325,1.77 (1.15-2.70),any,control
1,2007,20,1.95658033548881,1.38205525787688,2.76993744454358,1.96 (1.38-2.77),any,control
1,2008,20,2.16986962497099,1.62182433949755,2.90310983421942,2.17 (1.62-2.90),any,control
1,2009,20,2.4098192975987,1.86918544679184,3.1068233796953,2.41 (1.87-3.11),any,control
1,2010,20,2.68009505104447,2.12501636858108,3.38016666075342,2.68 (2.13-3.38),any,control
1,2011,20,2.98490695011417,2.39838602873704,3.7148604912161,2.98 (2.40-3.71),any,control
1,2012,20,3.32909569463718,2.70405954083181,4.09860728904015,3.33 (2.70-4.10),any,control
1,2013,20,3.7182333550277,3.05799659335622,4.52101853627868,3.72 (3.06-4.52),any,control
1,2014,20,4.15874112712963,3.47244017101275,4.98068416177643,4.16 (3.47-4.98),any,control
1,2015,20,4.65802712890462,3.94683259182828,5.49737447150265,4.66 (3.95-5.50),any,control
1,2016,20,5.22464782307682,4.44966452100361,6.13460739485696,5.22 (4.45-6.13),any,control
1,2017,20,5.86849732012048,4.90940631065526,7.01495427695913,5.87 (4.91-7.01),any,control
1,2018,20,6.6010296168303,5.26090675596266,8.28252505195703,6.60 (5.26-8.28),any,control
1,2000,20,0.0138654617678387,0.000267559677791587,0.718535138112807,0.01 (0.00-0.72),bpd,control
1,2001,20,0.0223994914833472,0.000739632689437403,0.678359983107546,0.02 (0.00-0.68),bpd,control
1,2002,20,0.0354783640235164,0.00192479512565504,0.653947164042606,0.04 (0.00-0.65),bpd,control
1,2003,20,0.0550948007718557,0.0047143280932508,0.643874802951477,0.06 (0.00-0.64),bpd,control
1,2004,20,0.0838840235527025,0.0108634709043297,0.647723869227275,0.08 (0.01-0.65),bpd,control
1,2005,20,0.125218787779724,0.023539842570682,0.666093868977359,0.13 (0.02-0.67),bpd,control
1,2006,20,0.183265764059862,0.0479269158481376,0.70078242428258,0.18 (0.05-0.70),bpd,control
1,2007,20,0.262975199711809,0.0915722128615001,0.755206776187248,0.26 (0.09-0.76),bpd,control
1,2008,20,0.369972846041823,0.163885196894584,0.835218246687231,0.37 (0.16-0.84),bpd,control
1,2009,20,0.510324609971151,0.273996648795199,0.950490484782783,0.51 (0.27-0.95),bpd,control
1,2010,20,0.690152045147273,0.426729226712968,1.11618753908634,0.69 (0.43-1.12),bpd,control
1,2011,20,0.915091773840221,0.619251359769581,1.35226663831894,0.92 (0.62-1.35),bpd,control
1,2012,20,1.1896141694157,0.845096125970158,1.67458094835069,1.19 (0.85-1.67),bpd,control
1,2013,20,1.51624440235206,1.10527509081866,2.08002252720736,1.52 (1.11-2.08),bpd,control
1,2014,20,1.89475864732045,1.41152670121825,2.54342360544585,1.89 (1.41-2.54),bpd,control
1,2015,20,2.32145457516768,1.77586640815227,3.03466033245945,2.32 (1.78-3.03),bpd,control
1,2016,20,2.78861197129083,2.18543644816646,3.55826257631547,2.79 (2.19-3.56),bpd,control
1,2017,20,3.28426044552692,2.5536979246739,4.22382246930403,3.28 (2.55-4.22),bpd,control
1,2018,20,3.79235249153553,2.73539371468058,5.25772116199189,3.79 (2.74-5.26),bpd,control
